Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
PHL,1970-01-01,1970-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7021,Annual value,,5.904349999325000,X
PHL,1970-01-01,1970-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7001,January,,3.900000002900000,X
PHL,1970-02-01,1970-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7002,February,,4.204299999000000,X
PHL,1970-03-01,1970-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7003,March,,6.096199999000000,X
PHL,1970-04-01,1970-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7004,April,,6.162799999000000,X
PHL,1970-05-01,1970-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7005,May,,6.121299999000000,X
PHL,1970-06-01,1970-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7006,June,,6.192399999000000,X
PHL,1970-07-01,1970-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7007,July,,6.230299999000000,X
PHL,1970-08-01,1970-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7008,August,,6.269499999000000,X
PHL,1970-09-01,1970-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7009,September,,6.370399999000000,X
PHL,1970-10-01,1970-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7010,October,,6.434999999000000,X
PHL,1970-11-01,1970-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7011,November,,6.434999999000000,X
PHL,1970-12-01,1970-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7012,December,,6.434999999000000,X
PHL,1971-01-01,1971-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7021,Annual value,,6.431708332333330,X
PHL,1971-01-01,1971-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7001,January,,6.434999999000000,X
PHL,1971-02-01,1971-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7002,February,,6.434999999000000,X
PHL,1971-03-01,1971-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7003,March,,6.434999999000000,X
PHL,1971-04-01,1971-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7004,April,,6.434999999000000,X
PHL,1971-05-01,1971-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7005,May,,6.434999999000000,X
PHL,1971-06-01,1971-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7006,June,,6.434999999000000,X
PHL,1971-07-01,1971-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7007,July,,6.434999999000000,X
PHL,1971-08-01,1971-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7008,August,,6.424499999000000,X
PHL,1971-09-01,1971-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7009,September,,6.410499999000000,X
PHL,1971-10-01,1971-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7010,October,,6.432399999000000,X
PHL,1971-11-01,1971-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7011,November,,6.433099999000000,X
PHL,1971-12-01,1971-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7012,December,,6.434999999000000,X
PHL,1972-01-01,1972-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7021,Annual value,,6.674841665750000,X
PHL,1972-01-01,1972-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7001,January,,6.434999999000000,X
PHL,1972-02-01,1972-02-29,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7002,February,,6.434999999000000,X
PHL,1972-03-01,1972-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7003,March,,6.434999999000000,X
PHL,1972-04-01,1972-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7004,April,,6.574899999000000,X
PHL,1972-05-01,1972-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7005,May,,6.767400000000000,X
PHL,1972-06-01,1972-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7006,June,,6.771799999000000,X
PHL,1972-07-01,1972-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7007,July,,6.777799999000000,X
PHL,1972-08-01,1972-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7008,August,,6.779499999000000,X
PHL,1972-09-01,1972-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7009,September,,6.779499999000000,X
PHL,1972-10-01,1972-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7010,October,,6.781199999000000,X
PHL,1972-11-01,1972-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7011,November,,6.780599999000000,X
PHL,1972-12-01,1972-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1972,1972,7012,December,,6.780399999000000,X
PHL,1973-01-01,1973-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7021,Annual value,,6.756283332333330,X
PHL,1973-01-01,1973-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7001,January,,6.781399999000000,X
PHL,1973-02-01,1973-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7002,February,,6.776199999000000,X
PHL,1973-03-01,1973-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7003,March,,6.771899999000000,X
PHL,1973-04-01,1973-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7004,April,,6.766199999000000,X
PHL,1973-05-01,1973-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7005,May,,6.763199999000000,X
PHL,1973-06-01,1973-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7006,June,,6.759199999000000,X
PHL,1973-07-01,1973-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7007,July,,6.758299999000000,X
PHL,1973-08-01,1973-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7008,August,,6.746699999000000,X
PHL,1973-09-01,1973-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7009,September,,6.739199999000000,X
PHL,1973-10-01,1973-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7010,October,,6.739599999000000,X
PHL,1973-11-01,1973-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7011,November,,6.738199999000000,X
PHL,1973-12-01,1973-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1973,1973,7012,December,,6.735299999000000,X
PHL,1974-01-01,1974-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7021,Annual value,,6.787874999416670,X
PHL,1974-01-01,1974-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7001,January,,6.730999999000000,X
PHL,1974-02-01,1974-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7002,February,,6.718899999000000,X
PHL,1974-03-01,1974-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7003,March,,6.723399999000000,X
PHL,1974-04-01,1974-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7004,April,,6.721800000000000,X
PHL,1974-05-01,1974-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7005,May,,6.717600000000000,X
PHL,1974-06-01,1974-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7006,June,,6.715700000000000,X
PHL,1974-07-01,1974-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7007,July,,6.734599999000000,X
PHL,1974-08-01,1974-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7008,August,,6.742799999000000,X
PHL,1974-09-01,1974-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7009,September,,6.747299999000000,X
PHL,1974-10-01,1974-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7010,October,,6.772399999000000,X
PHL,1974-11-01,1974-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7011,November,,7.066500000000000,X
PHL,1974-12-01,1974-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1974,1974,7012,December,,7.062500000000000,X
PHL,1975-01-01,1975-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7021,Annual value,,7.247899999000000,X
PHL,1975-01-01,1975-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7001,January,,7.066399999000000,X
PHL,1975-02-01,1975-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7002,February,,7.052199999000000,X
PHL,1975-03-01,1975-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7003,March,,7.026099999000000,X
PHL,1975-04-01,1975-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7004,April,,7.017699999000000,X
PHL,1975-05-01,1975-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7005,May,,7.017799999000000,X
PHL,1975-06-01,1975-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7006,June,,7.014999999000000,X
PHL,1975-07-01,1975-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7007,July,,7.271899999000000,X
PHL,1975-08-01,1975-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7008,August,,7.501799999000000,X
PHL,1975-09-01,1975-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7009,September,,7.509099999000000,X
PHL,1975-10-01,1975-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7010,October,,7.500099999000000,X
PHL,1975-11-01,1975-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7011,November,,7.497499999000000,X
PHL,1975-12-01,1975-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1975,1975,7012,December,,7.499199999000000,X
PHL,1976-01-01,1976-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7021,Annual value,,7.440258332333330,X
PHL,1976-01-01,1976-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7001,January,,7.485599999000000,X
PHL,1976-02-01,1976-02-29,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7002,February,,7.469299999000000,X
PHL,1976-03-01,1976-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7003,March,,7.458299999000000,X
PHL,1976-04-01,1976-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7004,April,,7.435399999000000,X
PHL,1976-05-01,1976-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7005,May,,7.430399999000000,X
